Artist,Recommendations
a tribe called quest,de la soul: 0.3122|the roots: 0.2911|j dilla: 0.2661|common: 0.2568|gang starr: 0.2324|outkast: 0.2155|nas: 0.214|mos def: 0.2009|madvillain: 0.1959|notorious b.i.g.: 0.1843
a-ha,duran duran: 0.1593|pet shop boys: 0.1554|madonna: 0.1249|depeche mode: 0.1245|michael jackson: 0.1089|u2: 0.1011|robbie williams: 0.101|abba: 0.0984|roxette: 0.0981|kylie minogue: 0.094
abba,madonna: 0.1991|queen: 0.1853|elton john: 0.1561|robbie williams: 0.1362|enya: 0.1322|céline dion: 0.1255|spice girls: 0.1235|pet shop boys: 0.123|bee gees: 0.1219|kylie minogue: 0.1187
above & beyond,ferry corsten: 0.4432|armin van buuren: 0.4406|paul van dyk: 0.4069|atb: 0.31|tiësto: 0.2797|chicane: 0.2415|blank & jones: 0.2404|paul oakenfold: 0.1805|delerium: 0.1526|scooter: 0.1044
ac/dc,metallica: 0.2579|led zeppelin: 0.2451|iron maiden: 0.243|aerosmith: 0.2334|black sabbath: 0.2266|deep purple: 0.2137|judas priest: 0.2136|van halen: 0.2102|kiss: 0.2077|motörhead: 0.204
adam green,babyshambles: 0.1461|the libertines: 0.1296|the strokes: 0.1057|kimya dawson: 0.1043|patrick wolf: 0.1022|belle and sebastian: 0.1014|bob dylan: 0.0951|bright eyes: 0.0916|mando diao: 0.0884|the beatles: 0.0876
adele,duffy: 0.2065|amy winehouse: 0.1716|sara bareilles: 0.153|kate nash: 0.1481|lily allen: 0.1377|james morrison: 0.1365|sia: 0.1311|beyoncé: 0.1192|corinne bailey rae: 0.1112|alicia keys: 0.1079
adema,breaking benjamin: 0.1944|papa roach: 0.1813|static-x: 0.1798|dope: 0.1798|drowning pool: 0.1774|p.o.d.: 0.1749|seether: 0.1688|godsmack: 0.1664|ill niño: 0.1635|mudvayne: 0.1553
aerosmith,ac/dc: 0.2328|bon jovi: 0.2069|guns n roses: 0.196|queen: 0.1867|kiss: 0.1706|led zeppelin: 0.1694|van halen: 0.1664|deep purple: 0.1657|metallica: 0.1627|red hot chili peppers: 0.1576
aesop rock,sage francis: 0.2958|atmosphere: 0.2622|mf doom: 0.2054|the roots: 0.1741|jedi mind tricks: 0.1715|madvillain: 0.1687|cunninlynguists: 0.1504|rjd2: 0.1481|immortal technique: 0.133|ghostface: 0.1326
afi,rise against: 0.2108|my chemical romance: 0.1785|the used: 0.1782|bad religion: 0.175|sum 41: 0.1694|alkaline trio: 0.1666|anti-flag: 0.1648|funeral for a friend: 0.162|taking back sunday: 0.1615|fall out boy: 0.1572
after forever,epica: 0.38|tarja turunen: 0.261|tristania: 0.2586|sirenia: 0.2575|lacuna coil: 0.2442|nightwish: 0.216|kamelot: 0.2094|haggard: 0.1927|avantasia: 0.1789|the gathering: 0.1539
against me!,alkaline trio: 0.2006|the bouncing souls: 0.1919|descendents: 0.1597|anti-flag: 0.1494|streetlight manifesto: 0.1381|rancid: 0.1264|rise against: 0.1258|nofx: 0.1225|dropkick murphys: 0.1208|modest mouse: 0.1199
agalloch,ulver: 0.1989|my dying bride: 0.178|katatonia: 0.1742|moonspell: 0.1552|equilibrium: 0.1543|ensiferum: 0.152|opeth: 0.1479|eluveitie: 0.1401|amon amarth: 0.1379|immortal: 0.1352
aimee mann,fiona apple: 0.1465|tori amos: 0.1207|sarah mclachlan: 0.1113|ani difranco: 0.1073|rufus wainwright: 0.0991|joni mitchell: 0.0988|regina spektor: 0.0985|cat power: 0.0978|sheryl crow: 0.0964|feist: 0.0915
air,massive attack: 0.2686|röyksopp: 0.2575|radiohead: 0.2492|goldfrapp: 0.2371|portishead: 0.2204|björk: 0.201|daft punk: 0.1938|thievery corporation: 0.1926|boards of canada: 0.1921|morcheeba: 0.1895
akira yamaoka,nine inch nails: 0.0733|clint mansell: 0.0718|marilyn manson: 0.0627|a perfect circle: 0.062|aphex twin: 0.0599|dir en grey: 0.0557|the birthday massacre: 0.0547|soundtrack: 0.0543|dj krush: 0.0533|hans zimmer: 0.0521
akon,chris brown: 0.2701|50 cent: 0.2693|t.i.: 0.2447|ne-yo: 0.2441|usher: 0.2306|the game: 0.2293|nelly: 0.2267|kanye west: 0.218|eminem: 0.2176|rihanna: 0.2084
akurat,happysad: 0.4593|pidżama porno: 0.4006|myslovitz: 0.3376|hey: 0.2937|coma: 0.2627|kult: 0.2228|gentleman: 0.1185|bob marley: 0.0936|o.s.t.r.: 0.0923|the offspring: 0.0845
al green,otis redding: 0.1499|stevie wonder: 0.1462|marvin gaye: 0.144|prince: 0.1065|james brown: 0.1052|aretha franklin: 0.0948|nina simone: 0.0912|erykah badu: 0.0871|bob dylan: 0.0835|amy winehouse: 0.0819
alanis morissette,dido: 0.1579|madonna: 0.1555|coldplay: 0.141|the cranberries: 0.1394|tori amos: 0.1376|u2: 0.1369|sarah mclachlan: 0.1345|sheryl crow: 0.1316|garbage: 0.1246|avril lavigne: 0.1177
alesana,escape the fate: 0.316|silverstein: 0.2518|bring me the horizon: 0.2487|saosin: 0.2403|chiodos: 0.2232|a day to remember: 0.2204|from first to last: 0.218|from autumn to ashes: 0.2106|enter shikari: 0.1963|the used: 0.1722
alexisonfire,city and colour: 0.2686|underoath: 0.24|chiodos: 0.2384|funeral for a friend: 0.2373|atreyu: 0.2219|enter shikari: 0.2008|saosin: 0.1947|thrice: 0.1889|senses fail: 0.1888|from autumn to ashes: 0.1841
alice cooper,kiss: 0.1726|deep purple: 0.1535|black sabbath: 0.1504|scorpions: 0.1497|ozzy osbourne: 0.1471|def leppard: 0.1434|motörhead: 0.1386|iron maiden: 0.1384|mötley crüe: 0.138|ac/dc: 0.1369
alice in chains,soundgarden: 0.2726|stone temple pilots: 0.2339|pearl jam: 0.2324|nirvana: 0.175|tool: 0.1705|a perfect circle: 0.1599|faith no more: 0.1599|audioslave: 0.1526|metallica: 0.1486|pantera: 0.1463
alicia keys,beyoncé: 0.2405|usher: 0.2132|john legend: 0.2083|mary j. blige: 0.2001|rihanna: 0.1993|joss stone: 0.1872|christina aguilera: 0.1787|amy winehouse: 0.1787|ne-yo: 0.1785|mariah carey: 0.1778
alkaline trio,saves the day: 0.2072|against me!: 0.1964|the bouncing souls: 0.1904|brand new: 0.179|the get up kids: 0.1754|afi: 0.1688|say anything: 0.1662|new found glory: 0.1566|blink-182: 0.1545|descendents: 0.1534
all shall perish,the black dahlia murder: 0.3543|parkway drive: 0.3161|bring me the horizon: 0.3053|heaven shall burn: 0.275|caliban: 0.2223|all that remains: 0.2165|as i lay dying: 0.2133|killswitch engage: 0.1845|hatebreed: 0.1611|a day to remember: 0.16
all that remains,killswitch engage: 0.3406|as i lay dying: 0.3303|caliban: 0.2808|trivium: 0.2677|heaven shall burn: 0.2471|atreyu: 0.2266|36 crazyfists: 0.2246|parkway drive: 0.2239|bullet for my valentine: 0.2108|all shall perish: 0.2048
all time low,cute is what we aim for: 0.2812|cobra starship: 0.2377|the academy is...: 0.2348|boys like girls: 0.228|a day to remember: 0.2089|paramore: 0.2022|taking back sunday: 0.1804|fall out boy: 0.1602|the all-american rejects: 0.1563|new found glory: 0.152
alter bridge,creed: 0.1451|avenged sevenfold: 0.1253|disturbed: 0.1175|incubus: 0.106|bullet for my valentine: 0.103|hoobastank: 0.102|lostprophets: 0.0999|breaking benjamin: 0.0999|seether: 0.0987|three days grace: 0.0984
amon amarth,dark tranquillity: 0.2994|ensiferum: 0.2831|arch enemy: 0.2795|children of bodom: 0.2643|at the gates: 0.2615|finntroll: 0.2534|dimmu borgir: 0.2523|in flames: 0.2517|behemoth: 0.2455|eluveitie: 0.2398
amon tobin,bonobo: 0.2911|boards of canada: 0.2129|squarepusher: 0.2075|dj krush: 0.2067|aphex twin: 0.1998|autechre: 0.1949|the herbaliser: 0.1878|the cinematic orchestra: 0.1729|dj shadow: 0.1725|plaid: 0.1675
amorphis,dark tranquillity: 0.2651|in flames: 0.2456|opeth: 0.2295|sentenced: 0.221|soilwork: 0.2134|katatonia: 0.2105|moonspell: 0.2006|amon amarth: 0.1992|ensiferum: 0.1976|children of bodom: 0.1937
amy macdonald,maria mena: 0.1395|duffy: 0.1362|katie melua: 0.1335|kt tunstall: 0.1298|coldplay: 0.1296|a fine frenzy: 0.1183|lily allen: 0.1075|dido: 0.1068|amy winehouse: 0.1045|james morrison: 0.1033
amy winehouse,duffy: 0.1989|feist: 0.1787|lily allen: 0.1772|alicia keys: 0.176|adele: 0.1725|coldplay: 0.169|madonna: 0.1656|arctic monkeys: 0.1596|joss stone: 0.1586|norah jones: 0.1562
anathema,katatonia: 0.2695|my dying bride: 0.2578|opeth: 0.2386|the gathering: 0.1996|paradise lost: 0.1957|moonspell: 0.1871|porcupine tree: 0.185|riverside: 0.178|pain of salvation: 0.1774|tiamat: 0.1765
anberlin,underoath: 0.1902|emery: 0.1876|mae: 0.1858|relient k: 0.174|paramore: 0.1589|saosin: 0.1581|taking back sunday: 0.1482|senses fail: 0.1476|city and colour: 0.1424|skillet: 0.1408
andrew bird,sufjan stevens: 0.29|iron & wine: 0.2623|beirut: 0.2238|m. ward: 0.206|bon iver: 0.2036|devendra banhart: 0.2|the decemberists: 0.1947|broken social scene: 0.1924|elliott smith: 0.1851|arcade fire: 0.1742
andrew lloyd webber,queen: 0.0859|hans zimmer: 0.062|the beatles: 0.0612|genesis: 0.0611|enya: 0.0581|danny elfman: 0.0577|howard shore: 0.0564|dream theater: 0.0559|supertramp: 0.0551|billy joel: 0.0544
angels & airwaves,44: 0.2494|blink-182: 0.168|new found glory: 0.1454|jimmy eat world: 0.138|sum 41: 0.1305|the all-american rejects: 0.1272|good charlotte: 0.1157|fall out boy: 0.1091|dashboard confessional: 0.0986|sugarcult: 0.0983
angra,avantasia: 0.2838|kamelot: 0.257|gamma ray: 0.255|stratovarius: 0.2364|blind guardian: 0.221|helloween: 0.22|edguy: 0.2084|rhapsody of fire: 0.2058|sonata arctica: 0.1903|symphony x: 0.1712
ani difranco,tori amos: 0.1589|fiona apple: 0.1421|sufjan stevens: 0.1127|regina spektor: 0.1113|tegan and sara: 0.1069|aimee mann: 0.105|joni mitchell: 0.1039|feist: 0.0993|cat power: 0.0939|alanis morissette: 0.0847
animal collective,grizzly bear: 0.2877|devendra banhart: 0.2375|deerhunter: 0.2231|broken social scene: 0.2208|neutral milk hotel: 0.2186|tv on the radio: 0.2144|fleet foxes: 0.2089|modest mouse: 0.2053|the books: 0.2041|sufjan stevens: 0.2024
anna ternheim,kent: 0.1957|håkan hellström: 0.1556|regina spektor: 0.1143|antony and the johnsons: 0.0943|tegan and sara: 0.0818|amy macdonald: 0.0816|the knife: 0.081|josé gonzález: 0.0779|morrissey: 0.0779|beirut: 0.0748
anthrax,kreator: 0.2371|testament: 0.2299|megadeth: 0.223|slayer: 0.215|sodom: 0.1978|pantera: 0.1845|iron maiden: 0.1809|judas priest: 0.1776|death: 0.1718|black sabbath: 0.1619
anti-flag,rise against: 0.2499|nofx: 0.2413|rancid: 0.2409|bad religion: 0.2248|pennywise: 0.2152|millencolin: 0.1991|lagwagon: 0.187|less than jake: 0.1795|dropkick murphys: 0.1789|afi: 0.1695
antonio vivaldi,johann sebastian bach: 0.2756|ludwig van beethoven: 0.2386|frédéric chopin: 0.2255|wolfgang amadeus mozart: 0.1796|frank sinatra: 0.0996|pink floyd: 0.0773|norah jones: 0.0722|howard shore: 0.0689|the beatles: 0.0684|ennio morricone: 0.0641
antony and the johnsons,cocorosie: 0.2117|beirut: 0.151|cat power: 0.1365|sufjan stevens: 0.1335|bon iver: 0.1301|rufus wainwright: 0.1286|bonnie prince billy: 0.1284|devendra banhart: 0.1282|sigur rós: 0.1277|arcade fire: 0.1259
aphex twin,squarepusher: 0.3015|boards of canada: 0.2969|autechre: 0.2959|plaid: 0.2222|amon tobin: 0.1988|venetian snares: 0.1948|four tet: 0.1862|radiohead: 0.1746|björk: 0.1666|the future sound of london: 0.1665
apocalyptica,nightwish: 0.2223|metallica: 0.1937|sonata arctica: 0.1885|rammstein: 0.1884|epica: 0.175|system of a down: 0.1692|disturbed: 0.1672|blind guardian: 0.1625|in flames: 0.1563|lacuna coil: 0.1555
apoptygma berzerk,vnv nation: 0.3453|combichrist: 0.2117|the birthday massacre: 0.132|nine inch nails: 0.1129|depeche mode: 0.1116|iamx: 0.1088|skinny puppy: 0.092|ladytron: 0.0883|marilyn manson: 0.0855|rammstein: 0.0852
apparat,plaid: 0.1967|booka shade: 0.1882|burial: 0.1673|trentemøller: 0.1565|boards of canada: 0.151|amon tobin: 0.1329|four tet: 0.1238|autechre: 0.1206|aphex twin: 0.1205|bonobo: 0.1196
arcade fire,sufjan stevens: 0.2409|radiohead: 0.2314|the decemberists: 0.2313|modest mouse: 0.2288|the shins: 0.2249|interpol: 0.2151|broken social scene: 0.2122|the national: 0.2022|death cab for cutie: 0.1913|animal collective: 0.1909
arch enemy,children of bodom: 0.3067|amon amarth: 0.2686|in flames: 0.2612|dark tranquillity: 0.2566|dimmu borgir: 0.2271|soilwork: 0.2227|at the gates: 0.2134|slayer: 0.2098|lamb of god: 0.2056|finntroll: 0.1912
architecture in helsinki,of montreal: 0.2217|broken social scene: 0.2085|arcade fire: 0.1847|belle and sebastian: 0.1815|clap your hands say yeah: 0.1808|sufjan stevens: 0.1797|the shins: 0.162|feist: 0.161|beirut: 0.1569|andrew bird: 0.1525
archive,massive attack: 0.1429|portishead: 0.1275|unkle: 0.113|radiohead: 0.0978|hooverphonic: 0.093|air: 0.0912|lamb: 0.0861|bonobo: 0.0848|sneaker pimps: 0.0755|goldfrapp: 0.074
arctic monkeys,the kooks: 0.2981|franz ferdinand: 0.2843|the strokes: 0.2833|the killers: 0.2824|bloc party: 0.2747|kaiser chiefs: 0.2517|muse: 0.247|coldplay: 0.2357|kings of leon: 0.233|maxïmo park: 0.2287
aretha franklin,ray charles: 0.1745|marvin gaye: 0.1633|james brown: 0.1383|nina simone: 0.1297|stevie wonder: 0.1268|ella fitzgerald: 0.1229|amy winehouse: 0.1139|otis redding: 0.1032|al green: 0.0954|bob dylan: 0.0941
armin van buuren,ferry corsten: 0.4402|above & beyond: 0.4243|paul van dyk: 0.3848|tiësto: 0.3821|atb: 0.3785|blank & jones: 0.2902|chicane: 0.2475|paul oakenfold: 0.2305|david guetta: 0.1583|delerium: 0.1488
as i lay dying,killswitch engage: 0.3384|all that remains: 0.3353|caliban: 0.321|parkway drive: 0.2772|heaven shall burn: 0.2763|atreyu: 0.2569|chimaira: 0.2212|trivium: 0.2177|from autumn to ashes: 0.2122|all shall perish: 0.2048
ashlee simpson,hilary duff: 0.2426|kelly clarkson: 0.2416|avril lavigne: 0.2103|the pussycat dolls: 0.1812|christina aguilera: 0.1718|the veronicas: 0.1675|miley cyrus: 0.164|britney spears: 0.1568|lady gaga: 0.1497|gwen stefani: 0.145
asian dub foundation,manu chao: 0.1092|massive attack: 0.1087|fatboy slim: 0.1069|the chemical brothers: 0.1003|the prodigy: 0.0967|moby: 0.0947|morcheeba: 0.0945|the crystal method: 0.0907|cypress hill: 0.0903|gentleman: 0.0878
at the drive-in,the mars volta: 0.2392|...and you will know us by the trail of dead: 0.158|minus the bear: 0.139|fugazi: 0.1352|the blood brothers: 0.1287|refused: 0.1227|the fall of troy: 0.1215|queens of the stone age: 0.1192|the dillinger escape plan: 0.1104|pixies: 0.1091
at the gates,amon amarth: 0.2539|arch enemy: 0.2155|the haunted: 0.2136|carcass: 0.1913|death: 0.1902|slayer: 0.1881|dark tranquillity: 0.1866|kreator: 0.1756|nile: 0.1718|children of bodom: 0.1707
atb,armin van buuren: 0.3705|tiësto: 0.3483|paul van dyk: 0.3336|blank & jones: 0.3009|ferry corsten: 0.2937|above & beyond: 0.2923|chicane: 0.2703|scooter: 0.2072|paul oakenfold: 0.2069|delerium: 0.1565
atmosphere,aesop rock: 0.2555|sage francis: 0.2436|cunninlynguists: 0.1992|jedi mind tricks: 0.1683|nas: 0.1523|the roots: 0.152|mf doom: 0.1506|a tribe called quest: 0.1455|mos def: 0.1381|common: 0.1375
atreyu,killswitch engage: 0.2602|avenged sevenfold: 0.253|as i lay dying: 0.2492|36 crazyfists: 0.2387|bullet for my valentine: 0.2299|trivium: 0.2257|all that remains: 0.223|alexisonfire: 0.2176|from autumn to ashes: 0.2164|silverstein: 0.1997
audioslave,foo fighters: 0.2202|rage against the machine: 0.1933|red hot chili peppers: 0.1844|pearl jam: 0.1825|soundgarden: 0.1626|chris cornell: 0.161|alice in chains: 0.1502|incubus: 0.149|stone temple pilots: 0.1481|nirvana: 0.1472
autechre,squarepusher: 0.3096|aphex twin: 0.3045|plaid: 0.278|boards of canada: 0.2677|amon tobin: 0.1996|venetian snares: 0.1987|the future sound of london: 0.181|burial: 0.1697|orbital: 0.1366|four tet: 0.1338
avantasia,edguy: 0.3798|rhapsody of fire: 0.3025|sonata arctica: 0.2832|angra: 0.2809|helloween: 0.2669|kamelot: 0.2648|gamma ray: 0.2572|stratovarius: 0.2521|blind guardian: 0.2384|hammerfall: 0.2293
avenged sevenfold,atreyu: 0.2546|bullet for my valentine: 0.2347|trivium: 0.201|disturbed: 0.1825|killswitch engage: 0.1665|slipknot: 0.1573|all that remains: 0.1508|as i lay dying: 0.1448|linkin park: 0.1402|papa roach: 0.137
avril lavigne,kelly clarkson: 0.2608|hilary duff: 0.2498|evanescence: 0.2333|britney spears: 0.2252|pink: 0.2204|ashlee simpson: 0.2092|simple plan: 0.2053|rihanna: 0.2046|linkin park: 0.2039|good charlotte: 0.2
ayreon,pain of salvation: 0.2662|opeth: 0.2447|dream theater: 0.2348|symphony x: 0.2267|porcupine tree: 0.2101|kamelot: 0.2043|therion: 0.1702|riverside: 0.1616|avantasia: 0.1547|rhapsody of fire: 0.1539
babyshambles,the libertines: 0.4029|dirty pretty things: 0.2757|arctic monkeys: 0.1969|the kooks: 0.1904|the strokes: 0.1626|adam green: 0.1447|klaxons: 0.1437|the cribs: 0.1423|the last shadow puppets: 0.1417|maxïmo park: 0.141
backstreet boys,britney spears: 0.1925|kelly clarkson: 0.1401|spice girls: 0.138|christina aguilera: 0.1311|enrique iglesias: 0.124|mariah carey: 0.1231|rihanna: 0.1201|avril lavigne: 0.1125|justin timberlake: 0.1125|maroon 5: 0.1122
bad brains,black flag: 0.2476|descendents: 0.1928|minor threat: 0.1928|dead kennedys: 0.1799|misfits: 0.167|fugazi: 0.1224|buzzcocks: 0.1005|dinosaur jr.: 0.1001|the clash: 0.0995|devo: 0.0919
bad religion,nofx: 0.2769|pennywise: 0.2631|rancid: 0.2422|millencolin: 0.2335|anti-flag: 0.2227|the offspring: 0.1852|lagwagon: 0.1787|afi: 0.1783|rise against: 0.1721|green day: 0.1554
badly drawn boy,belle and sebastian: 0.1233|elliott smith: 0.1158|sufjan stevens: 0.1156|beck: 0.1074|the shins: 0.1002|eels: 0.0941|death cab for cutie: 0.0918|beirut: 0.0889|nick drake: 0.0868|doves: 0.0861
band of horses,the shins: 0.1866|modest mouse: 0.1751|death cab for cutie: 0.1659|the national: 0.1616|the new pornographers: 0.1595|bon iver: 0.1584|sufjan stevens: 0.1523|interpol: 0.1501|iron & wine: 0.1488|arcade fire: 0.146
barenaked ladies,they might be giants: 0.1759|ben folds: 0.1151|ben folds five: 0.1122|cake: 0.1089|billy joel: 0.1071|the decemberists: 0.094|matchbox twenty: 0.0912|counting crows: 0.0821|third eye blind: 0.0814|the beatles: 0.0807
basement jaxx,fatboy slim: 0.1804|the chemical brothers: 0.1725|groove armada: 0.1599|daft punk: 0.1573|moby: 0.1447|röyksopp: 0.1247|faithless: 0.1239|the prodigy: 0.1089|jamiroquai: 0.1063|gorillaz: 0.1012
basshunter,cascada: 0.2186|groove coverage: 0.1894|scooter: 0.1821|tiësto: 0.1302|rihanna: 0.1233|linkin park: 0.1126|nightwish: 0.1076|lady gaga: 0.1064|eminem: 0.106|timbaland: 0.0996
bat for lashes,lykke li: 0.1545|santogold: 0.1325|crystal castles: 0.1144|róisín murphy: 0.113|the knife: 0.11|björk: 0.1075|yeah yeah yeahs: 0.1069|mgmt: 0.1051|cocorosie: 0.1026|feist: 0.0936
bathory,burzum: 0.3077|darkthrone: 0.2551|satyricon: 0.1925|immortal: 0.1865|amon amarth: 0.185|morbid angel: 0.1781|slayer: 0.1776|death: 0.1772|finntroll: 0.1594|behemoth: 0.1549
battles,animal collective: 0.1573|grizzly bear: 0.1214|deerhoof: 0.1162|deerhunter: 0.1151|foals: 0.1101|minus the bear: 0.1046|sonic youth: 0.1001|tv on the radio: 0.099|prefuse 73: 0.0953|death from above 1979: 0.0908
bauhaus,siouxsie and the banshees: 0.2969|the sisters of mercy: 0.2357|joy division: 0.1648|the cure: 0.1483|echo & the bunnymen: 0.1226|skinny puppy: 0.1218|new order: 0.1122|david bowie: 0.1028|the jesus and mary chain: 0.0951|depeche mode: 0.0916
beastie boys,beck: 0.1651|radiohead: 0.1398|the chemical brothers: 0.1376|dj shadow: 0.1347|public enemy: 0.1333|the beatles: 0.1319|cypress hill: 0.1241|a tribe called quest: 0.1233|pixies: 0.1223|gorillaz: 0.1183
beatsteaks,die Ärzte: 0.2707|farin urlaub: 0.2198|die toten hosen: 0.205|clueso: 0.1907|mando diao: 0.1779|deichkind: 0.1725|billy talent: 0.1655|peter fox: 0.1601|seeed: 0.1427|böhse onkelz: 0.1291
beck,radiohead: 0.2749|modest mouse: 0.2089|the beatles: 0.2049|the flaming lips: 0.1998|the shins: 0.1935|sufjan stevens: 0.184|arcade fire: 0.1809|elliott smith: 0.1803|belle and sebastian: 0.1744|pixies: 0.1733
bee gees,abba: 0.1209|eagles: 0.1044|queen: 0.1013|simon & garfunkel: 0.0988|elton john: 0.097|michael jackson: 0.0927|the beach boys: 0.087|fleetwood mac: 0.0866|phil collins: 0.0839|elvis presley: 0.083
behemoth,nile: 0.3108|immortal: 0.3064|vader: 0.3028|cannibal corpse: 0.2862|satyricon: 0.2558|amon amarth: 0.2532|morbid angel: 0.2513|bloodbath: 0.2481|dimmu borgir: 0.2438|death: 0.2145
beirut,andrew bird: 0.2261|sufjan stevens: 0.2111|radiohead: 0.1926|fleet foxes: 0.1868|animal collective: 0.1864|arcade fire: 0.1848|feist: 0.1832|devendra banhart: 0.1808|iron & wine: 0.1801|cat power: 0.1796
belle and sebastian,sufjan stevens: 0.2654|the shins: 0.2341|the magnetic fields: 0.222|the decemberists: 0.2219|elliott smith: 0.2146|iron & wine: 0.2122|radiohead: 0.21|cat power: 0.2064|of montreal: 0.2036|camera obscura: 0.2012
ben folds,ben folds five: 0.4098|the decemberists: 0.1605|the shins: 0.1458|death cab for cutie: 0.142|rufus wainwright: 0.1383|the postal service: 0.1309|sufjan stevens: 0.1191|the beatles: 0.1166|radiohead: 0.1147|elliott smith: 0.1147
ben folds five,ben folds: 0.4108|barenaked ladies: 0.1075|the beatles: 0.1009|something corporate: 0.1006|death cab for cutie: 0.0977|cake: 0.0956|billy joel: 0.0937|the postal service: 0.093|the decemberists: 0.0924|wilco: 0.0923
ben harper,jack johnson: 0.184|dave matthews band: 0.1266|radiohead: 0.1082|john mayer: 0.0996|bob marley: 0.0947|pearl jam: 0.0944|red hot chili peppers: 0.0907|jason mraz: 0.0877|counting crows: 0.0875|coldplay: 0.0869
benny benassi,david guetta: 0.1974|scooter: 0.1602|tiësto: 0.1337|justin timberlake: 0.1156|timbaland: 0.1078|atb: 0.1066|armin van buuren: 0.1056|cascada: 0.0978|linkin park: 0.0928|daft punk: 0.0894
beyoncé,rihanna: 0.379|the pussycat dolls: 0.349|christina aguilera: 0.2985|britney spears: 0.298|lady gaga: 0.286|leona lewis: 0.2618|mariah carey: 0.2577|ne-yo: 0.2435|alicia keys: 0.2415|nelly furtado: 0.2359
biffy clyro,feeder: 0.1212|kings of leon: 0.1188|foals: 0.1097|bloc party: 0.1091|the cribs: 0.1067|muse: 0.0994|foo fighters: 0.0979|lostprophets: 0.0916|editors: 0.0911|alexisonfire: 0.0867
billie holiday,ella fitzgerald: 0.255|nina simone: 0.1998|frank sinatra: 0.1491|chet baker: 0.1489|louis armstrong: 0.1374|miles davis: 0.134|django reinhardt: 0.1115|charlie parker: 0.1082|diana krall: 0.1066|bob dylan: 0.1051
billy joel,elton john: 0.2264|queen: 0.161|journey: 0.151|electric light orchestra: 0.1229|simon & garfunkel: 0.1219|the beatles: 0.119|ben folds: 0.113|phil collins: 0.1096|barenaked ladies: 0.106|the who: 0.1055
