Artist,Recommendations
gwen stefani,rihanna
helloween,iron maiden
hooverphonic,massive attack
hot chip,radiohead
iced earth,metallica
in flames,children of bodom|iron maiden|metallica
incubus,death cab for cutie|muse|coldplay|radiohead
interpol,bloc party|the killers|muse|coldplay|radiohead
iron & wine,the shins|sufjan stevens|death cab for cutie|radiohead
iron maiden,judas priest|megadeth|in flames|nightwish|led zeppelin|metallica
jack johnson,coldplay
james blunt,coldplay
jay-z,nas|kanye west
jeff buckley,radiohead
jethro tull,pink floyd
jimi hendrix,led zeppelin|pink floyd|the beatles
jimmy eat world,fall out boy
john lennon,pink floyd|the beatles
john mayer,coldplay
johnny cash,radiohead
joy division,the smiths|the cure|radiohead
judas priest,iron maiden|metallica
justice,daft punk
justin timberlake,rihanna|britney spears
kaiser chiefs,franz ferdinand|arctic monkeys|the killers|coldplay
kamelot,nightwish
kanye west,jay-z
kasabian,the killers|coldplay
katy perry,lady gaga|rihanna|britney spears
keane,the killers|muse|coldplay
kelly clarkson,rihanna|britney spears
king crimson,pink floyd
kings of leon,bloc party|arctic monkeys|coldplay|radiohead
koЯn,slipknot|system of a down|metallica
kreator,judas priest|iron maiden|metallica
kylie minogue,madonna
lacuna coil,nightwish
lady gaga,beyoncé|rihanna|britney spears
lamb,massive attack
lamb of god,metallica
led zeppelin,ac/dc|the rolling stones|pink floyd|metallica|the beatles|radiohead
leona lewis,rihanna
lil wayne,t.i.|50 cent|jay-z|kanye west
lily allen,lady gaga
limp bizkit,koЯn|system of a down|linkin park
linkin park,koЯn|nightwish|system of a down|metallica|coldplay
ludacris,jay-z|kanye west
lupe fiasco,jay-z|kanye west
machine head,slipknot
madonna,beyoncé|rihanna|coldplay
mando diao,arctic monkeys|the killers
manowar,iron maiden
mariah carey,rihanna
marilyn manson,koЯn|system of a down|metallica
maroon 5,rihanna|coldplay
massive attack,portishead|air|radiohead
maxïmo park,bloc party|arctic monkeys|the killers
megadeth,slayer|iron maiden|metallica
metallica,megadeth|koЯn|iron maiden|led zeppelin|system of a down|pink floyd|the beatles
mgmt,the killers|coldplay
moby,coldplay
modest mouse,the shins|death cab for cutie|radiohead
mogwai,radiohead
morrissey,the smiths
motörhead,iron maiden
mudvayne,slipknot|koЯn|system of a down
muse,franz ferdinand|arctic monkeys|foo fighters|bloc party|the killers|linkin park|red hot chili peppers|coldplay|radiohead|the beatles
my chemical romance,fall out boy
nas,jay-z|kanye west
ne-yo,rihanna
neil young,bob dylan|the beatles
nelly furtado,rihanna
neutral milk hotel,radiohead
nickelback,linkin park
nightwish,epica|sonata arctica|iron maiden|metallica
nine inch nails,tool|radiohead
nirvana,led zeppelin|system of a down|pink floyd|metallica|red hot chili peppers|radiohead|the beatles
norah jones,coldplay
notorious b.i.g.,jay-z|kanye west
oasis,arctic monkeys|the killers|muse|coldplay|radiohead|the beatles
of montreal,sufjan stevens|the shins|radiohead
opeth,metallica
outkast,kanye west
ozzy osbourne,metallica
p.o.d.,system of a down
panic at the disco,fall out boy
pantera,metallica
papa roach,linkin park
paramore,blink-182
paul van dyk,armin van buuren|atb
pavement,radiohead
pearl jam,nirvana|metallica|radiohead
pink floyd,the rolling stones|led zeppelin|radiohead|the beatles|coldplay
pixies,radiohead|the beatles
pj harvey,portishead|radiohead
placebo,the killers|muse|coldplay|radiohead
porcupine tree,pink floyd
portishead,massive attack|air|radiohead
queen,led zeppelin|pink floyd|coldplay|the beatles
queens of the stone age,radiohead
r.e.m.,coldplay|the beatles|radiohead
radiohead,aphex twin|sufjan stevens|tool|the shins|franz ferdinand|air|massive attack|death cab for cutie|led zeppelin|nirvana
rage against the machine,metallica
rammstein,nightwish|system of a down|metallica
ramones,the beatles
red hot chili peppers,foo fighters|system of a down|the killers|metallica|muse|coldplay|radiohead
regina spektor,radiohead
rihanna,beyoncé|lady gaga|britney spears
rilo kiley,death cab for cutie
robbie williams,coldplay
röyksopp,massive attack|air|daft punk
sepultura,slayer|metallica
serj tankian,system of a down
sigur rós,sufjan stevens|radiohead|coldplay
simian mobile disco,justice|daft punk
simon & garfunkel,the beatles
siouxsie and the banshees,the cure
slayer,megadeth|metallica
slipknot,koЯn|disturbed|system of a down|metallica
snoop dogg,jay-z|kanye west
snow patrol,death cab for cutie|the killers|coldplay
sonata arctica,nightwish
sonic youth,radiohead
soulfly,slipknot|koЯn|system of a down
spoon,radiohead
squarepusher,aphex twin
stars,death cab for cutie|radiohead
static-x,koЯn|system of a down
stereophonics,coldplay
stratovarius,nightwish|metallica
sufjan stevens,the shins|death cab for cutie|radiohead|coldplay
sugababes,rihanna|britney spears
sum 41,blink-182|linkin park
system of a down,koЯn|slipknot|metallica|muse
t.i.,50 cent|jay-z|kanye west
talking heads,the beatles
tarja turunen,nightwish
testament,megadeth|iron maiden|metallica
the album leaf,radiohead
the all-american rejects,fall out boy
the beach boys,the beatles
the beatles,the smiths|led zeppelin|bob dylan|death cab for cutie|pink floyd|metallica|coldplay|radiohead
the chemical brothers,daft punk
the clash,the beatles
the cure,the smiths|radiohead|coldplay
the decemberists,the shins|sufjan stevens|death cab for cutie|radiohead
the doors,the rolling stones|led zeppelin|pink floyd|the beatles
the flaming lips,radiohead
the fratellis,arctic monkeys|the killers
the fray,coldplay
the game,t.i.|50 cent|jay-z|kanye west
the jimi hendrix experience,led zeppelin
the killers,franz ferdinand|bloc party|arctic monkeys|death cab for cutie|muse|coldplay|radiohead
the kinks,the beatles
the knife,radiohead
the kooks,arctic monkeys|the killers|coldplay
the libertines,arctic monkeys
the mars volta,tool
the national,radiohead
the new pornographers,radiohead
the offspring,metallica
the pigeon detectives,arctic monkeys
the postal service,death cab for cutie|coldplay
the pussycat dolls,beyoncé|lady gaga|rihanna|britney spears
the raconteurs,the white stripes
the rolling stones,led zeppelin|bob dylan|pink floyd|the beatles
the shins,sufjan stevens|death cab for cutie|radiohead|the beatles
the smashing pumpkins,foo fighters|red hot chili peppers|radiohead|the beatles
the smiths,the cure|radiohead
the strokes,the libertines|franz ferdinand|arctic monkeys|the white stripes|the killers|muse|coldplay|radiohead
the velvet underground,the beatles
the verve,coldplay
the white stripes,arctic monkeys|the killers|nirvana|radiohead|the beatles
the who,the rolling stones|led zeppelin|pink floyd|the beatles
thievery corporation,massive attack
timbaland,rihanna
tiësto,armin van buuren
tom waits,radiohead|the beatles
tool,radiohead
travis,coldplay
tricky,massive attack
tv on the radio,radiohead
u2,red hot chili peppers|coldplay|the beatles|radiohead
van halen,ac/dc
wilco,radiohead
